,impo_planos_venezuela,02.01 LAMINA EN CALIENTE,PLANOS,Carbón Mineral,Planos de Acero al Silicio,Lámina con Recubrimiento,anglePerfilesComerciales,platePlacaDeHoja,expo_planos_ecuador,HIERRO DE PRIMERA FUSIÓN,04.01 LAMINA GALVANIZADA,03.01 LAMINA EN FRIO,Arrabio,Planchón,wBeamsPerfilesEstructurales
0,2.458102,10674,1334947.1380915365,1390473.5292,16231.399321,379223.57918593,32.8,36.0625,0.064965,1005672.25411,175,994,416118.87652667,346817.52203999995,36.0
1,0.937531,7326,1236831.8997944363,1419430.8189410998,12262.865867000002,354291.9195492301,33.3,40.25,0.0,930097.21949,143,753,404561.53054667,280760.1024699999,37.5625
2,0.467958,9297,1432076.7084073364,1339078.948238,21982.87486099999,385708.8871225299,33.8,45.2,0.06643,1088802.837417,163,935,448736.19583367,296948.4643,39.125
3,1.45639,7331,1404092.7408091864,1138710.4233449998,22098.336665100003,413319.69769773,36.55,47.0,0.06693,990130.157288,148,835,464392.35770467,336959.5158944001,42.0
4,0.103295,8734,1389706.4116971362,997048.457766,20030.682237999998,409209.87472002994,36.55,46.3125,0.0303,959579.102585,124,939,335999.52800167,387738.6219244001,42.0
5,0.289429,5616,1354996.7937903362,1667176.737985,29975.35037100001,394170.50447783,38.05,47.2,0.123834,989181.1727,191,646,446618.88911667,276980.696936,43.5
6,0.182682,6175,1312643.4733732364,1185301.051508,21377.39363199999,379895.0625995301,38.05,48.0,0.0307,927419.520146,188,719,368762.87856267,201946.8816372,43.5
7,0.023174,7024,1313056.2002931766,1728507.54066,22628.488843999992,387496.36557908,38.05,47.8,0.130885,928313.172103,216,638,322355.75051967,247655.3605404,43.5
8,0.486617,6637,1217972.0905227363,1352980.2505072,22056.102468,347839.83809943,38.05,48.5,0.032,952012.611929,177,600,415498.80934567,245740.67589250003,43.5
9,0.114907,8227,1371370.7365140363,1701846.161628,25198.238909,399275.69022143,38.05,48.125,0.021764,852723.1617,170,788,284655.31611667003,290991.42616730003,41.75
10,0.1,6745,1350309.5946107365,1586350.0415780002,33193.122188,403128.74495253,38.05,49.4,9e-05,927552.856472,160,693,369809.39458867,128152.75413239998,41.75
11,0.2338413333333333,5171,1242262.7376348365,740567.02809,12329.913246,339826.07917033,38.05,49.375,0.067808,944053.870125,104,603,380337.09554167,215783.67129030003,41.75
12,0.014839,6897,1320084.7190943332,1461324.137573,30886.3131846,388709.9698964368,37.05,48.75,0.046165,1008340.56232333,116,1134,413302.62032333,281787.8073494,41.75
13,0.358698,6086,1195988.6153340333,1298448.0544520002,17243.559491,346789.0266129367,37.05,47.75,0.135713,918475.13096633,105,827,394190.12851633,306346.4191144,43.25
14,0.135192,7115,1333040.1745732331,1379986.11975,34265.742431,394189.7983199366,37.05,46.7,0.052048,969386.46855333,159,735,378966.74355333,237119.6601819,43.25
15,0.607619,6430,1371961.0061993331,1125339.3988879998,34725.83559,382189.3436755367,37.05,45.75,0.072563,998101.58280333,103,843,420707.45120333,315840.7797221,43.25
16,0.376214,7694,1322230.616444033,1326180.4978359998,27770.159207,400891.7439056367,35.8,43.0,0.124274,936052.11544333,155,752,364799.44501333,247597.4935027,41.25
17,0.214747,6306,1125298.0457771332,1520810.259397,24097.768546,357225.8037126367,33.8,38.875,0.052265,843511.00584333,147,932,352943.04271332995,300562.0000583,38.25
18,0.334755,8004,1285139.7652802332,1555604.9663929995,27271.592395,393774.8298459368,33.8,36.25,0.073182,804542.3666753301,191,976,329303.05549533,240198.5168208,38.25
19,0.436676,7919,1362847.6890279334,1420252.2514459998,32653.695093,406510.6428483367,33.8,35.5,0.025458,867572.2777533301,170,743,403720.52775333,279843.3225449,35.25
20,0.654871,5795,1267734.8537925333,1310455.5290134,18538.645266,391387.6838937367,32.3,34.375,0.096235,807324.27542633,137,754,352909.98043733,234354.7280597,33.75
21,0.81508,6993,1275671.642875333,1542838.880437,30243.893378,415642.1060113367,32.3,32.625,0.102814,829800.2541203301,227,699,362916.71212033,431619.3662814,32.75
22,0.672655,7339,1168926.1564300333,1385612.4159686,17677.621427,381473.5833871368,32.675,30.125,0.063333,798599.79452433,219,897,285484.52232433,157528.83956649998,33.625
23,0.52401,5828,1296509.3087876334,765301.5715069999,19719.694961,396435.31137173664,33.05,31.4,0.045581,853532.39194933,172,818,320405.09215033,161208.671078,34.5
24,0.209681,9225,1313785.9094578698,396579.880848,27107.733905,409102.19802769,35.05,32.0,0.069836,784739.27571733,184,1113,254951.80856233,241693.2737688,36.5
25,0.0,8011,1058627.4343093,369463.187602,22393.647651,367375.71292253,35.05,31.0,0.219916,628036.66724033,175,972,243913.51983733,226667.456926,36.5
26,0.492923,9435,1245373.08680317,355173.672443,27699.717737000003,394684.85897103,35.05,30.625,0.084426,716698.70528333,204,1149,239017.54832833,307274.8030396,36.5
27,0.275291,5551,1184626.31015267,159154.54417797,21534.668801,322564.90353126,33.8,29.375,0.027021,650767.9959033299,109,836,233698.07444833,259280.431355,35.25
28,1.5e-05,7065,1000944.8526787902,37178.989716,27005.209662,280405.04993051,33.8,27.3,0.086221,589107.46020333,152,952,225582.42874833,171002.50001800002,35.25
29,0.364683,8797,870787.0128831698,432604.354158,28418.408779,298447.88243848004,33.8,26.9375,0.202943,654694.06711333,197,926,243552.30565833,136367.17008799998,35.25
30,0.967006,10794,870091.07588566,420155.509443,25799.438528,331679.3351253699,33.8,26.0,0.22466,698312.11895333,204,1316,260572.07749833,174299.53997499996,35.25
31,0.797558,12056,965160.45230649,375159.938287,25367.2095178,356702.55136874004,33.8,25.75,0.233343,747251.03764133,367,1404,244451.59618633,364915.8982558,35.25
32,1.061734,11921,1108793.97118634,467429.440113,23353.697564,364952.59195568,35.3,26.75,0.413984,774119.0605033301,633,1195,238058.63904833,272439.9564812,35.25
33,2.395996,12930,1134179.39101977,373163.58643,22972.736188,404597.31472659006,35.3,29.7,0.362284,732289.44020733,271,1812,212777.99875233,325452.93275563,35.25
34,1.18586,9828,1156007.44594047,514728.614354,22676.139404,411388.67168643,36.8,33.125,0.349441,764870.41797233,197,1799,241014.01451733,283059.66850260005,38.0
35,1.063534,10453,1245207.3854721603,408438.771616,22982.9206,418568.88824397005,42.3,38.375,0.184955,726984.26567133,285,1558,240454.80421633,307486.58124761004,45.5
36,0.755607,9661,1187070.7314077392,401013.888618,29070.991258,402721.13924687007,44.3,47.8,0.193988,787704.7028240899,294,1407,236485.56251367,363617.192152,47.5
37,0.656191,9502,1067631.9920000392,401318.709859,22043.653999,332704.6204212699,44.3,52.125,0.204167,561153.96561009,236,1849,213893.20859967,230777.14098599995,47.5
38,0.637607,12934,1509378.6329241092,453524.490992,37432.470053000005,467993.4866925,45.8,54.5,0.271828,809774.6799220899,386,2273,280229.54991167,285847.2510201,50.0
39,0.155529,9502,1396649.908881139,419063.788699,33655.6383252,426215.23025064,47.8,58.8,0.406611,801681.54289509,214,1977,254621.88258467,371903.80043452,52.5
40,0.804529,11178,1416706.494639266,468378.17021659,25764.4490144,428806.04279357,50.3,67.375,0.301501,886478.0291050901,367,1940,285984.27889467,361003.5292504,60.0
41,1.197115,9188,1312194.6932108991,434385.800147,32678.838482600004,431772.57736398,53.8,71.875,0.427005,735061.6928580899,394,1383,234921.02284767,375846.2399031299,60.0
42,3.322082,7056,1443857.860024849,430159.415236,34235.2307254,427849.5806156501,55.8,77.4,0.507419,615335.0951340899,545,1329,216974.96512367,329471.29357946,63.0
43,1.113004,8128,1440470.768647036,431448.990406,35205.8192586,424922.73930012,58.3,84.0,0.46633,744765.43797509,856,1520,279366.47774467,461758.1608485999,65.5
44,2.065748,9173,1391460.8996776962,410728.85488,27393.5319626,402144.55427875,58.3,87.25,0.26863,730790.42113409,556,1323,279241.29112367,482469.2766384399,68.0
45,1.507306,9495,1312460.661269646,434433.601337,39384.9343884,384635.4633318,58.3,89.0,0.2950407,783392.6054830899,717,1753,236243.93626267,426815.82736662,68.0
46,1.857178,9890,1360045.2887234262,410794.936246,40643.1965688,424195.44213367,60.8,90.1875,0.192781,739626.08273109,589,1657,230383.04250067,393712.33102756,70.5
47,0.92557,9532,1121146.1768987393,481337.805712,41622.327579,371674.879054,60.8,90.75,0.3345415,820123.22220009,518,1655,272538.12218967,402597.00089962,70.5
48,4.98895,9877,1225558.914238006,769986.4702999999,35692.181117,392858.21041209,60.8,90.75,0.189521,767745.29411033,643,1958,264131.29365633,396881.20417628,70.5
49,3.055716,9582,1237577.663502636,614483.5687859999,46558.322964,376034.4564776,60.8,90.5625,0.22092718,668245.64531533,563,1605,221128.05501533,390133.66777503,70.5
50,3.834372,16652,1409820.367106096,855440.5080120001,46834.572283,443184.4094295899,64.8,91.5,0.4064957,664171.14250333,1044,3242,209039.65010333,557560.54256903,73.5
51,4.022543,11884,1264367.009484666,532168.4393920001,22001.4070678,379740.40434849,64.8,94.55,0.34099675,729827.24652333,848,2224,251956.98652333,550135.1658550999,76.5
52,2.30894,10818,1557480.281125926,546185.193292,55989.7845805,453859.08797588,64.8,94.8,0.401447,811440.06134133,833,1990,295995.06088833004,477081.7976075,76.5
53,5.112034,11180,1184941.2912747762,490093.812323,27097.339758,369092.75165108,64.8,90.75,0.3866154,771273.88018133,933,1790,240659.32996133,607214.5457493,76.5
54,5.945859,10822,1220822.697658666,476290.388884,34944.719337999995,377532.7177404,62.3,89.5,0.2805028,768539.59384333,918,1704,212496.52339333,469650.4222385999,73.5
55,12.753421,12285,1332258.135298746,536318.6113170001,38929.462751,399814.89514287,62.3,87.0,0.3304528,758279.80563933,953,1996,272290.81963933003,536786.9621722001,73.5
56,7.306211,14548,1222026.1382099958,708397.448349,23728.714628,378879.2145672299,62.3,84.25,0.114423,705192.91489033,1043,2625,212183.34469033,497733.1829671,73.5
57,8.618682,13139,1279028.165043496,542921.556277,45392.2892998,355086.31984891,59.3,79.25,0.3234583,736339.53736933,1238,2551,223807.84736933,497479.6145506601,70.5
58,7.114623,13104,1220663.029688356,542502.7553140001,35413.61799259001,340103.09434906003,55.8,78.8,0.1807483,730742.19941233,1065,2380,224801.19941233,530494.4318433,66.0
59,4.893527,15591,1154613.852483906,710475.6768720001,37025.708796,335324.02865422,55.8,71.75,0.281035,710247.94868733,977,2368,131608.04848733,505271.99028711,66.0
60,3.407084,15954,1322042.12435755,918394.44445166,24137.443926,368477.21677057,55.8,71.0,0.1349237999999999,651494.076692,1099,2881,92544.556692,656792.890153,66.0
61,4.380903,15622,1303916.69052795,549258.1455313351,35858.33593399999,377246.87782216,55.8,71.0,0.285482,578013.019427,1050,2113,117086.019227,652203.44706494,66.0
62,12.733713,17088,1553233.0009413,1055043.5241717263,33513.031061999995,401386.2698655399,58.3,75.375,0.3775705,646432.638991,1136,2194,94104.388991,674165.6730881,68.5
63,3.158538,11601,1419209.82010772,521634.9613181467,28371.830864969997,399532.90252254,58.3,77.0,0.222051,645025.395128,811,2223,97525.325128,626597.4648314,68.5
64,8.918506,13045,1567482.4807664598,627963.8513878967,43369.9230271,420632.85390453,58.3,77.8,0.0540972,589500.592515,1119,2263,90619.592315,673812.3646155399,68.5
65,6.287365,13026,1542009.8652553398,582505.3288755313,40479.14425398,404867.86315693,58.3,76.0,0.3952445,603091.05371,947,1998,89922.13351,735118.443595,68.5
66,6.494734,13173,1667432.63797611,674739.8528586881,33871.32244880001,444345.50752115,57.1,75.0,0.1178496,554697.242566,728,2143,77594.237316,628041.9494072,67.6
67,3.225389,16345,1670716.98829867,819297.1954126687,48792.10914185001,463122.70687611,55.8,74.9,0.294008,692921.3828860001,1099,2447,113446.081886,701043.43543299,64.75
68,11.940596,17613,1574721.88072733,818581.6793356169,48020.45915103,453312.6356998501,55.8,74.125,0.2127039,635460.4253199999,1059,2784,80735.72532,687164.3953515999,64.75
69,13.885897,22955,1638523.27081264,663055.422204591,40105.08762080001,452186.4582232799,55.8,71.1,0.3538100999999999,630543.163311,1350,3309,84746.99631100001,571398.1326946,64.75
70,9.045534,17372,1502093.51852314,749853.2169019044,41392.083718800015,456068.0814149,55.8,66.75,0.1601264999999999,518876.646445,1575,2986,80051.62939500001,683119.93716389,64.75
71,6.334771,15597,1420700.1400407,389941.95958290144,39015.98977599999,383822.1776471101,58.8,66.0,0.1068076,653552.4826300001,1122,1887,134815.72762999998,734369.6034498,64.75
